,full_text,Label
0,"@Iam_Nobody_1145 Sama aja dong kek kasus kudatuli yg ga pernah diusut tuntas padahal kalo mao Bu Mega mampu, biar kasus itu bisa jadi bahan playing victim kalo PDI Perjuangan adalah korban orde baru, oh gini cara maennya awokwok",2
1,"@Bambangmulyonoo @PDI_Perjuangan Salah satu yang kencang teriak 3 periode, buzzer pakai baju pengamat.",2
2,@Miduk17 @agussusilo7562 @ganjarpranowo @mohmahfudmd @ArsjadRasjid Tp pdi ga berani ato jd penghalang yah😅,2
3,@Paltiwest Pdi p jgn mw menampung mental2 pngkhianat jk plpres dmenangkan ganjar mahfud.,2
4,"@Minietweets_ @adri_7i @adi_sareang @alextham878 @AlmaghribiS @bengkeldodo @BANGSAygSUJUD @Ndons_Back @Zero8ok @Lembayung071 @Ndaxwz PDIP /dh PDI kan udah biasa dibeginikan, malah dulu dikuyo2 pas jaman orba, jadi klo cuman begini Yo saya Ndak tau... mkmkmkmk",0
5,@aan_muba @PDI_Perjuangan NDAS BUTHAK IKETE BLANGKON..... 🤣🤣🤣🤣🤣👎👎👎👎👎,1
6,"@PreciosaKanti Orang klu dari sdh tdk amanah sampai kapanpun mereka tdk akan amanah dan ditambah munafik sdh lah tdk usah dipercaya segala cara dilakukan, jd tdk usah percaya lg, PDI aja yg membesarkannya di khianati jangan2 strategi dan sandiwara juga yg penting rakyat ingin perobahan titik.",2
7,ketika Pak @ganjarpranowo dan @PDI_Perjuangan menolak U20 karena ada kehadiran tim U20 Israel anda ngapain ... mencla mencle blepetan 🤭🤭🤭selamat pagi Pak @jokowi moga sehat selalu 🙏,2
8,Om @TeddGus om @adearmando61 sibuk nyerang @PDI_Perjuangan dan Bu Mega Wati..kok malah nyungsep partainya. Semangat om pasti lolos senayan.. Lah Dekengane Wong Pusat https://t.co/v5stzvuyuM,2
9,@narkosun @ganjarpranowo @jokowi @PDI_Perjuangan Masa sh jokowi mau saya orang yg udah hianatin dia soal pildun....,2
10,"@tvOneNews Dulu katanya tegak lurus dgn Jokowi,sekarang kok malah tuduh Jokowi dipengaruhi oleh sosok toxic orde Baru di Istana sih, @PDI_Perjuangan",2
11,@agussusilo7562 @Uki23 Dan pastinya PDI yang gurem,0
12,@MarahIchsan Maaf saya tidak suka dengan PDI Saya yakin PDI melawan Pak Jokowi akan gurem,0
13,"@aan_muba @PDI_Perjuangan Kalok ngak punya duit kagak usah bayar, pecat ajach bikin statemen bukan kader @psi_id diluar garis komando @psi_id gituch ajach repot. Ayo @bawaslu_RI @KPU_ID ini ada caleg kena kasus hukum dicoret kagak yak dr pencalegkan?",1
14,"@patriktatang @Indonesiaguyub @AndreasSolusi @jokowi @PDI_Perjuangan @prabowo @bengkeldodo @P4P4B0W0_2024 @Bank_Joee_ @Lembayung071 @Dony_YNWA @Rara29803002 @tinggipasaribu @putri_Aalona @are_inismyname Ini yg nomer 5 ... gagal...hanya pencitraan... Belum food estate yg gagal, beli pesawat bekas yg mahal https://t.co/zSL6cIR82t",2
15,@Achmad_Misrin80 @KickAndyShow @DPP_PartaiUmmat @PDI_Perjuangan Tetapi anakmu itu lho malu maluin... Kenapa nggak dukung saudara sendiri saja takut dianggap KKN..? Ada yang lebih parah di depan mata kita kok.. Itu contoh keluarga presiden😂😂😂,2
16,@f1speed_indo Mau dipakein baju red bull takutnya masuk PDI nanti min😂,0
17,@Armor_segara Buzzer pdi p lu ... saya twit serang pdi anda masuk,0
18,"@Dahnilanzar @prabowo @aniesbaswedan @ganjarpranowo @jokowi Sungguh naif sekali orang2 ini ... setelah iparnya jkw mengamputasi supremasi hukum, kalian masih berharap keteduhan dalam pilpres ... coba ngomong dah lu ke kader @PDI_Perjuangan",1
19,"@TeddGus @ganjarpranowo dah lah bro , Lo berbusa2 jelekin PDI P .. kaga bakalan masuk Senayan 😀😀 https://t.co/MyYOJwuWaV",2
20,@agent_pin @PDI_Perjuangan Kasihan... Nyerangnya membabi buta gara2 di tolak 3 periode...,2
21,@kompascom Ternyata di @PDI_Perjuangan banyak yg melow....udah lah sebagai partai pejuang tak perlu mewek ke si Hasto......,1
22,@OposisiCerdas Lu Cabut Dickhead  RG ditahan tidak ditahan dia pahlawan bukan pengecut .lu Jokowi Projo PDI bajingan pencuri uang rakyat penghianat .Rakyat yg akan menggantung leher lu tunggu aja .ayo tobat tolol !,1
23,@KinjengKolenka @jokowi Berani gak yah PDI pecat Mas Gibran? Gak bakalan berani,1
24,@theT4ntryS1 @ganjarpranowo Yakin lah PDI akan gurm,1
25,"@kompascom sakit dan perih yaa @PDI_Perjuangan, ditikam dari belakang ! https://t.co/YrjdwAfBuZ",2
26,"@PDI_Perjuangan Coba pecat Jokowi dan keluarganya, berani gak? Katanya Banteng.",1
27,@aan_muba @PDI_Perjuangan Liat kaesang. Rasanya muak. Orang yg tidak tau balas budi.,2
28,"@kompascom Daripada ngebacot kagak jelas, mbok tunjukkan taringmu : CABUT KTA Gibran, Bobby &amp  Bokapnya!! Rakyat lebih apresiatif ketika partai TEGAS tanpa pandang bulu, jangan coba2 main 2 kaki. Berani kagak? Cc @PDI_Perjuangan @66Hasto",2
29,"@Putra70487911 @deddysitorus Paling cuman Gimik"" doang kalo sampai pak @jokowi dan mas @gibran_tweet ...  Ya bisa dibilang tipu-tipu..kalo bukan tipu-tipu pastinya kader-kader tsb di pecat....  Betul ya @PDI_Perjuangan ?? https://t.co/mt37LLJpcV""",1
30,@EmadulHuka23140 @PDI_Perjuangan Yg setuju 3 periode ini orangnya,2
31,"@detikcom Teru anaknya cucunya Mega ketum @PDI_Perjuangan , anaknya @puanmaharani_ri dapat karpet merah sbg caleg dgn nomor urut tinggi mengalahkan kader senior macam bambang pacul itu bukan politik dinasti? Munafik.",1
32,"@CNNIndonesia @PDI_Perjuangan jangan hipokrit alias munafik. Kader muda anda @gibran_tweet menggunakan hak politiknya untuk dipilih sbg cawapres, dianggap pembangkangan. @ridwankamil yg notabene kader Golkar anda rayu &amp  bujuk ut jadi timses Ganjar. Konsisten dong, kan banteng.",1
33,"@kompascom @PDI_Perjuangan jangan hipokrit alias munafik. Kader muda anda @gibran_tweet menggunakan hak politiknya untuk dipilih sbg cawapres, dianggap pembangkangan. @ridwankamil yg notabene kader Golkar anda rayu &amp  bujuk ut jadi timses Ganjar. Konsisten dong, kan banteng.",1
34,"@CNNIndonesia @PDI_Perjuangan jangan hipokrit alias munafik. Kader muda anda @gibran_tweet menggunakan hak politiknya untuk dipilih sbg cawapres, dianggap pembangkangan. @ridwankamil yg notabene kader Golkar anda rayu &amp  bujuk ut jadi timses Ganjar. Konsisten dong, kan banteng.",1
35,"@sgits1 Partai merah yg kadernya banyak begal anggaran Negara, betulkah @PDI_Perjuangan @ganjarpranowo @mohmahfudmd ?? https://t.co/kQgg6bFzjK",1
36,@ZulkifliLubis69 @gibran_tweet @prabowo @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @PDI_Perjuangan Raja bohong mana bisa d percaya,2
37,@mpoklela7 @B_Hendratmo1 @prabowo @gibran_tweet @PDI_Perjuangan @AndreasSolusi @BANGSAygSUJUD @genx36545403 @bengkeldodo @adri_7i @0K4Y08 @Chaves1305 @Lembayung071 @Rara29803002 Ga nyambung goblok balasan komen kau BLOON...😂😂😂🤣🤣🤣🤣,1
38,"kau mau poles"" #pisangkarbit pake presiden,rakyatlah penentu  RAKYAT sangat mencintai @ganjarpranowo @PDI_Perjuangan @mohmahfudmd  Utk @adearmando61 @Fahrihamzah @HelmiFelis_ @TeddGus teruslah berkoarkoar  ingat,RAKYATlah presidennya,bukan PENIPU!  @yunartowijaya @BurhanMuhtadi https://t.co/DQhKkeauCh""",2
39,@aan_muba @PDI_Perjuangan Dah selesai ditelanjangin aja masih bisa ngeledek apalagi ntar cuma dimaapin ....  lanjutkan biar kapok,1
40,@AndreasSolusi @jokowi @PDI_Perjuangan @prabowo @bengkeldodo @P4P4B0W0_2024 @patriktatang @Bank_Joee_ @Lembayung071 @Dony_YNWA @Rara29803002 @tinggipasaribu @putri_Aalona @are_inismyname Ya.. membeli alutsista moderen pada masanya... menyerahkan kembali freport pada yang berhak... luar binasa,1
41,@Bambangmulyonoo @PDI_Perjuangan Bukan qodari namanya  kalau nggak ngadu domba,2
42,"@kompascom rekayasa pdi p..menolak 3 priode hanya ingin mencalonkan puan, sayang nuya si puan kurang cantik 😆",2
43,@Bambangmulyonoo @PDI_Perjuangan Muhammad Qodari Fitnah Megawati Minta Syarat Capres Lulusan SMA  https://t.co/Rt83Z3WsUu,2
44,"Banyak yg menyudutkan ibu Megawati, memberi stigma buruk pada @PDI_Perjuangan . Setelah itu mereka ramai2 bicara idealisme, hadeuh manusia bertopeng munafik semua...",2
45,"Stres luar biasa aja @PDI_Perjuangan naik jadi 25,2 persen. Bayangkan kalau ngga stres berapa persen suara yg diraihnya.  Beda sama partai hedon anak muda, udah tiap hari ngejilat eh malah melorot 0,9%.  Ayo dikuatkan lagi ngejilatnya https://t.co/UacNnO9Ssz",1
46,@ch_chotimah2 @PDI_Perjuangan @jokowi @ganjarpranowo Wmm Kurang cerdas ASN tidak boleh jadi kader partai  .. baru dengar sekarang,0
47,@pixelzoes @CoekSoesanto @detikcom @PDI_Perjuangan Ngakak,0
48,@aan_muba @PDI_Perjuangan Mampus dah,0
49,@bonnietriyana Lah lucu... Kenapa gabung PDI kalo emang gak oposan sama soeharto ? aneh narasi anda nin,2
50,@Nicho_Silalahi @PDI_Perjuangan @jokowi @bobbynasution_ @gibran_tweet blum sampai otakmu ke arah sana baluhap,1
51,@Bambangmulyonoo @PDI_Perjuangan Ngrubah BENAR NGRUBAH... Tp TIDAK DENGAN CARA MERUSAK KONSTITUSI....demikian pula era Gus Dur... Si Dori Pengamat PEKOKK... Mustine sinau sejarah... Bagaima anak2 Bung Karno DITEKAN &amp  TDK DIBERI KELONGGARAN  OLEH SOEHARTO.... #rakyatoragebleg,2
52,"@ZulkifliLubis69 @gibran_tweet @prabowo @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @PDI_Perjuangan Kasihan kalau lihat mukanya wan abud, seperti orang tolol.😅",1
53,@zegori_ @theiconic1808 @stella_jeruk__ @kikysaputrii @ganjarpranowo @PDI_Perjuangan anjir GOBLOK bot dibales pantesan BUMN carut marut kebanyakan NEPOTISME orang TOLOL KAYAK GINI masuk plat merah ampun ampun,1
54,"Ini Yang selalu gw Takutin, Kenapa sekarang Pendukung @PDI_Perjuangan sama @ganjarpranowo jadi mirip KADRUN 2019 😭😭😭",2
55,@KompasTV BONGKAR SAJA SIH ...@PDI_Perjuangan .. .NIAR MASYARAKAT TAU ..SIAPA SIAPA YG BAKAL DI PENJARA ... SESUAI DG PERNYATAAN KETUA PROJO YG SEKARANG JADI MENTRI ..!!,2
56,@gibran_tweet Ra jelas koe ki mas @gibran_tweet omonganmu esok dele sore dadi tempe...klo pun smpean sakit hati sm @PDI_Perjuangan mbok yv di lihat perjuangan mereka memenangkan @jokowi trs ipar sampean dan sampean sendri...anda ini orng jawa harusnya lebih punya etika,1
57,@Cimbara @SammiSoh @PDI_Perjuangan Bazer PDI-P juga sebut Jokowi celeng Apa bedanya sama2 menghujat Gibran disebut anak celeng,1
58,"Hahahaha… si om @PDI_Perjuangan suka gitu deh?!  Itu si banci cantik kader Caleg PDIP yg mukul juga nyerang sekaligus geruduk rumah @rockygerung siapa namanya?  Karena dia sudah sok IYES sama sosok Rocky sang kritikus @jokowi, tolong deh caleg PDIP itu diproses juga spy gak DCT!",1
59,@kompascom @PDI_Perjuangan kenapa jadi cengeng gini 😂,2
60,"@Malik00226436 @Dennysiregar7 @gibran_tweet @PDI_Perjuangan @jokowi Kalau @gibran_tweet keluar dulu dr PDIP, pamit ke PDIP sebelum jd cawapres Prabowo ya itu baru anak muda yg punya etika. Tapi kalau masih anggota PDIP, udah tau PDIP dukung Ganjar, eh malah jd cawapres Prabowo dgn status masih anggota PDIP, ya itu gk ngerti sopan dan pengkhianat.",2
61,"@Bambangmulyonoo @PDI_Perjuangan Ini koq dibolak balik ndk karuan utk muaskan nafsu kekuasaan. Bukankah sudah bukan rahasia lagi bagi bangsa ini saat orde baru bu mega(putra putri pak sukarno) kuliah sj dilarang oleh rezim orde baru. Tiba2 dikeluarkan. Lha mbok jangan begitu coro mainmu to lik,kebrangus cuankah?",2
62,@rubino_lugo @Poerna9 @kartarahardja @PDI_Perjuangan Apalagi yg bikin Indonesia bodoh turunan,1
63,"Sebaiknya @psi_id hadapi saja proses hukumnya, jangan cemen bro @kaesangb , sampean kan anak Presiden...masa takut sama @PDI_Perjuangan 🤣🤣🤣",1
64,@tvOneNews apapun prodak PDI p dn turunan nya dah males tuk memilih nya 10 thn aja negara sudah bangkrut meroket.  hutang aja di banyakin,1
